scp-5008,thaumiel,,5000 broken-god clockwork doctor-clef engraved foundation-made historical mind-affecting religious scarlet-king scp thaumiel 
scp-5009,archon,,5000 antimemetic archon building ethics-committee foundation-made historical light scp teleportation the-administrator uncontained 
scp-501,Euclid,,cognitohazard euclid mind-affecting religious rewrite scp visual 
scp-5010,euclid,,5000 alive euclid humanoid mind-affecting ontokinetic probability sapient scp sentient teleportation 
scp-5011,esoteric-class,,5000 asci co-authored document esoteric-class historical scp 
scp-5012,euclid,,5000 aiad arboreal artistic auditory biological broken-masquerade compulsion end-of-death euclid extradimensional food hallucination humanoid instrument location on-mount-golgotha performance plant scp the-trashfire visual 
scp-5013,Keter,,5000 cognitohazard hallucination k-class-scenario keter location memetic memory-affecting scp 
scp-5014,Neutralized,,5000 cadaver empathic humanoid indestructible neutralized scp temporal 
scp-5015,archon,site-11,5000 archon artifact chaos-insurgency clay co-authored extradimensional global-occult-coalition historical instrument portal scp serpents-hand 
scp-5016,thaumiel,,5000 alleged-god building chaos-insurgency daevite nobody olympia scp thaumiel the-administrator 
scp-5017,Euclid,,5000 acoustic euclid global-occult-coalition gru-division-p historical scp stone teleportation the-administrator unusual-incidents-unit 
scp-5018,euclid,site-14,5000 audio co-authored electronic euclid scp self-replicating sentient virus 
scp-5019,keter,,are-we-cool-yet keter media memory-affecting online scp uncontained 
scp-502,Safe,,biological inscribed medical safe scp 
scp-5020,euclid,area-27,appliance arcadia electronic euclid game insect scp swarm 
scp-5021,Safe,,food mobile safe scp transfiguration 
scp-5022,Safe,,acoustic humanoid mobile observational reanimation safe scp sentient 
scp-5023,keter,,game humanoid jam-con2020 keter mind-affecting scp 
scp-5024,Keter Neutralized,,antimemetic bibliothetic concept extradimensional keter neutralized predatory scp serpents-hand wanderers-library 
scp-5025,Humanoid/Artifact,,broken-god cadaver canon2020 chaos-insurgency director-moose doctor-cimmerian doctor-dan doctor-light esoteric-class hostile humanoid indestructible kain-pathos-crow mechanical resurrection sapient scarlet-king scp sentient weapon 
scp-5026,Safe,site-65,knowledge media memory-affecting observational recording safe sapient scp sentient 
scp-5027,euclid,site-ae7,alive contagion empathic euclid humanoid indestructible organic paradox physics sapient scp sentient 
scp-5028,euclid,,alive animal euclid jam-con2020 sapient scp sentient thermodynamic 
scp-5029,Keter,,artistic computer keter reviewers-spotlight sapient scp virus 
scp-503,Euclid,,alive euclid humanoid probability sapient scp sentient 
scp-5030,Euclid,site-19,5000 compulsion concept contagion euclid memetic memory-affecting scp sleep 
scp-5031,keter,site-300,alive featured humanoid jam-con2020 keter mobile observational omnivorous predatory scp sentient 
scp-5032,Safe,,arcadia computer electronic game neurological safe scp sensory 
scp-5033,Euclid,,alive animal euclid jam-con2020 ovine scp thermodynamic 
scp-5034,Tiamat,,artifact clay ectoentropic esoteric-class ethics-committee global-occult-coalition jam-con2020 k-class-scenario miscommunications observational scp uncontained 
scp-5035,euclid,site-5076-1,ectoentropic euclid humanoid scp statue transfiguration 
scp-5036,Safe (initially presumed Neutralized),,are-we-cool-yet co-authored compulsion currency exquisite-corpse2020 historical mind-affecting narrative safe scp 
scp-5037,Euclid,,5000 chemical concept euclid scp 
scp-5038,pending,,co-authored extradimensional la-rue-macabre memoria-adytum pending portal ritual sarkic scp 
scp-5039,keter,,class-of-76 jam-con2020 keter memetic memory-affecting meta sapient scp sentient temporal transfiguration 
scp-504,Safe,,alive auditory mobile plant safe scp species 
scp-5040,euclid,,euclid media memory-affecting scp spacetime uncontained 
scp-5041,neutralized,,cadaver ethics-committee humanoid infohazard knowledge mind-affecting neutralized ontokinetic scp 
scp-5042,Keter,site-19,biological document extremity keter scp westhead-media wooden 
scp-5043,safe,,dado ectoentropic infohazard jam-con2020 mind-affecting safe scp 
scp-5044,safe,,media mind-affecting ocular safe scp visual 
scp-5045,euclid,,co-authored electronic euclid extradimensional game mind-affecting sapient scp 
scp-5046,Safe,,artifact mobile reanimation safe scp sentient 
scp-5047,Keter,site-14,alive humanoid jam-con2020 keter sapient scp sentient teleportation 
scp-5048,keter,,hostile humanoid keter religious scp structure teleportation wooden 
scp-5049,keter,,extradimensional hostile humanoid keter location portal recording sapient scp sentient spacetime uncontained 
scp-505,Keter,,featured instrument k-class-scenario keter liquid scp self-replicating toxic 
scp-5050,keter,,5000 audio city computer electromagnetic electronic ethics-committee foundation-made gru-division-p historical hostile keter mind-affecting pentagram physics recording religious scp sentient structure transmission uncontained unusual-incidents-unit video 
scp-5051,Safe,,5000 antimemetic euclid humanoid infohazard memory-affecting sapient scp sentient 
scp-5052,Euclid,,5000 cognitohazard engraved euclid extraterrestrial historical ontokinetic scp vehicle 
scp-5053,Euclid,site-81,alive animal euclid insect sapient scp sentient telepathic 
scp-5054,Keter,,co-authored compulsion concept exquisite-corpse2020 keter sapient scp sentient 
scp-5055,neutralized,site-18,5000 artifact contagion container empathic global-occult-coalition historical k-class-scenario neutralized scp 
scp-5056,euclid,site-43,doctor-blank euclid humanoid intangible light mobile ocular on-guard-43 reviewers-spotlight scp sentient teleportation visual 
scp-5057,Euclid,site-45,chemical doctor-everwood dr-wondertainment euclid humanoid mister sapient scp sentient toxic wonderful-world 
scp-5058,Keter,,biological cognitohazard extraterrestrial featured jam-con2020 keter memetic scp transmission visual 
scp-5059,safe,site-14,cognitohazard jam-con2020 media safe sarkic scp 
scp-506,Safe,,adaptive alive plant safe scp video 
scp-5060,Euclid,,5000 euclid extraterrestrial heimdall planet sapient scp species uncontained 
scp-5061,safe,site-5076-1,extradimensional historical marshall-carter-and-dark media portal safe scp spacetime 
scp-5062,Safe,,building compulsion empathic mind-affecting observational safe scp 
scp-5063,Safe,,biological chelonian co-authored container ectoentropic exquisite-corpse2020 metallic safe scp transfiguration 
scp-5064,Euclid,,artifact euclid jam-con2020 scp sentient 
scp-5065,Keter,,alive euclid humanoid sapient scp sentient 
scp-5066,Euclid,,cognitohazard euclid intangible neurological observational scp sensory visual 
scp-5067,Safe (formerly Keter),,automaton co-authored exquisite-corpse2020 humanoid metallic radioactive safe sapient scp sentient 
scp-5068,safe,site-ae7,aquatic co-authored contagion exquisite-corpse2020 k-class-scenario safe scp 
scp-5069,Safe,,5000 adult are-we-cool-yet artistic madao media recording redirect ritual safe scp sexual 
scp-507,Safe,,alive extradimensional grabnok humanoid safe sapient scp sentient 
scp-5070,Euclid,,airborne avian carnivorous euclid inscribed mobile predatory scp sentient tool 
scp-5071,safe,,are-we-cool-yet artistic biological cadaver co-authored humanoid safe scp 
scp-5072,safe,,alive animal insect light location performance safe sapient scp sentient species 
scp-5073,Euclid,site-65,euclid food jam-con2020 scp thermodynamic 
scp-5074,esoteric-class,,animal esoteric-class marshall-carter-and-dark nobody radioactive sapient scp simian wilsons-wildlife 
scp-5075,neutralized,,alagadda class-of-76 co-authored director-gillespie hanged-king humanoid memetic neutralized sapient scp uncontained 
scp-5076,keter,,alive animal extradimensional keter sapient scp sentient simian species 
scp-5077,Euclid,,co-authored cognitohazard euclid exquisite-corpse2020 hostile intangible ontokinetic scp uncontained 
scp-5078,esoteric-class,,alive biological building esoteric-class extradimensional historical humanoid language radioactive safe scp 
scp-5079,keter,site-91,alive cognitohazard fungus grand-karcist-ion keter language parasitic reviewers-spotlight ritual sarkic scp transfiguration visual 
scp-508,Safe,,cognitohazard compulsion portal safe scp visual 
scp-5080,Safe-doctrina,,concept extraterrestrial historical jam-con2020 safe scp telepathic temporal 
scp-5081,Euclid Explained,,co-authored cognitohazard euclid explained exquisite-corpse2020 food meta mind-affecting scp 
scp-5082,keter,,alive co-authored exquisite-corpse2020 extradimensional humanoid k-class-scenario keter military ritual sapient scp sentient spacetime transfiguration unusual-incidents-unit 
scp-5083,keter,site-14,compulsion currency game humanoid keter memetic metallic rewrite sapient scp sentient transmission visual 
scp-5084,Safe,,auditory cognitohazard food hallucination jam-con2020 safe scp 
scp-5085,Neutralized,,cadaver humanoid neutralized ontokinetic scp 
scp-5086,euclid,,empathic euclid jam-con2020 plant scp 
scp-5087,"Thaumiel, you idiots.",site-14,5000 artifact engraved keter loop paradox scp temporal thad-xyank visual 
scp-5088,Safe,,liquid reanimation safe scp structure 
scp-5089,keter,,co-authored exquisite-corpse2020 keter scp skeletal teleportation wanderers-library 
scp-509,Safe,,animal food humanoid safe scp spacetime structure transfiguration wooden 
scp-5090,keter,,alive arthropod computer keter media online scp sentient swarm telepathic 
scp-5091,Euclid Safe,,humanoid safe sapient scp sentient skeletal 
scp-5092,keter,,extraterrestrial k-class-scenario keter loop scp 
scp-5093,Safe,,antimemetic building extradimensional loop memory-affecting observational safe scp 
scp-5094,safe,site-14,computer electrical electronic knowledge media safe sapient scp sentient 
scp-5095,neutralized,,alive animal co-authored invertebrate memory-affecting mind-affecting neutralized parasitic scp species vermian 
scp-5096,Euclid,,alive animal co-authored document ectoentropic euclid exquisite-corpse2020 featured insect lepidopteran sapient scp self-replicating sentient 
scp-5097,esoteric-class,,deepwell-catalog ectoentropic esoteric-class foundation-made humanoid scp spacetime uncontained 
scp-5098,euclid,,clothing cognitohazard computer euclid hallucination humanoid intangible memory-affecting online sapient scp sensory visual 
scp-5099,thaumiel,,5000 cognitohazard extraterrestrial inscribed scp thaumiel 
scp-51,Safe,,compulsion humanoid reproductive safe scp transfiguration 
scp-510,Keter,,biohazard contagion keter scp sleep transfiguration 
scp-5100,keter,,5000 historical keter location ritual scp transfiguration uncontained 
scp-5101,Euclid,,concept euclid ritual scp 
scp-5102,Euclid,,artifact document eric euclid humanoid sapient scp sentient 
scp-5103,keter,,extradimensional immobile k-class-scenario keter mechanical ontokinetic pattern-screamer scp spacetime 
scp-5104,safe,site-5076-1,airborne alive animal ophidian safe scp skeletal species telepathic 
scp-5105,keter,,cognitohazard empathic keter meta scp shadow 
scp-5106,euclid,,animal avian compulsion euclid mind-affecting sapient scp sentient uncontained 
scp-5107,keter,,auditory chemical historical keter religious scp 
scp-5108,safe,,co-authored foundation-made humanoid knowledge organic safe sapient scp sentient telepathic 
scp-5109,safe,site-43,antimemetic auditory chaos-insurgency concept director-mcinnis doctor-blank doctor-lillihammer infohazard intangible knowledge language memetic memory-affecting on-guard-43 prize-feature safe scp transmission 
scp-511,Euclid,,alive animal euclid feline hostile reanimation scp swarm 
scp-5110,Safe,,ectoentropic food safe scp 
scp-5111,keter,,5000 autonomous co-authored electromagnetic extraterrestrial hostile keter scp sentient transmission wanderers-library 
scp-5112,Safe,,document plant predictive safe scp 
scp-5113,esoteric-class,,alive animal esoteric-class ethics-committee faeowynn-wilson feline marshall-carter-and-dark sapient scp sentient wilsons-wildlife 
scp-5114,safe,,safe sapient scp sculpture 
scp-5115,Thaumiel,,concept intangible ritual scp thaumiel the-administrator 
scp-5116,Safe,,arcadia electronic religious safe scp 
scp-5117,safe,,artifact metallic ontokinetic reviewers-spotlight safe scp tactile 
scp-5118,euclid,site-ae7,alive animal canine euclid ontokinetic scp sentient 
scp-5119,Keter,,building empathic extradimensional humanoid keter knowledge memory-affecting mind-affecting sapient scp sentient telepathic uncontained 
